YEAR,MONTH,DOMESTIC,INTERNATIONAL,TOTAL
2018,Jan,5765091,2099654,7864745
2018,Feb,5500603,1818739,7319342
2018,Mar,6908921,2373740,9282661
2018,Apr,6997037,2174385,9171422
2018,May,7416877,2222903,9639780
2018,Jun,7953658,2640872,10594530
2018,Jul,8359598,2872933,11232531
2018,Aug,8124419,2605443,10729862
2018,Sep,6958417,2000431,8958848
2018,Oct,7660817,2057748,9718565
2018,Nov,7199379,2051315,9250694
2018,Dec,7051231,2340358,9391589
2019,Jan,6073592,2182657,8256249
2019,Feb,5801648,1893310,7694958
2019,Mar,7545265,2421434,9966699
2019,Apr,7345606,2322015,9667621
2019,May,7773445,2438428,10211873
2019,Jun,8068838,2800297,10869135
2019,Jul,8341959,2920064,11262023
2019,Aug,7987309,2744601,10731910
2019,Sep,6843518,2189668,9033186
2019,Oct,7542338,2185195,9727533
2019,Nov,6783563,2157870,8941433
2019,Dec,7365054,2484469,9849523
2020,Jan,6411067,2284334,8695401
2020,Feb,6085155,1863176,7948331
2020,Mar,3467290,1063399,4530689
2020,Apr,185491,35529,221020
2020,May,396780,54538,451318
2020,Jun,661275,96671,757946
2020,Jul,1207341,186585,1393926
2020,Aug,1790563,305996,2096559
2020,Sep,1821096,310443,2131539
2020,Oct,2697096,404841,3101937
2020,Nov,2588575,541487,3130062
2020,Dec,2669353,716900,3386253
2021,Jan,2272605,628443,2901048
2021,Feb,2208159,422552,2630711
2021,Mar,3434860,714126,4148986
2021,Apr,3745481,839958,4585439
2021,May,4237303,964095,5201398
2021,Jun,5083611,1348872,6432483
2021,Jul,6395518,1655188,8050706
2021,Aug,6120923,1569052,7689975
2021,Sep,5613497,1165167,6778664
2021,Oct,6552059,1248675,7800734
2021,Nov,6471207,1451011,7922218
2021,Dec,6668970,1676937,8345907
2022,Jan,4884526,1366137,6250663
2022,Feb,5481564,1226454,6708018
2022,Mar,7276809,1717786,8994595
2022,Apr,7193064,1986495,9179559
2022,May,7694596,2168359,9862955
2022,Jun,7673308,2569838,10243146
2022,Jul,7945386,2887880,10833266
2022,Aug,7662471,2609433,10271904
2022,Sep,7335244,2168486,9503730
2022,Oct,8334111,2112615,10446726
2022,Nov,7665341,2055771,9721112
2022,Dec,8190887,2338325,10529212
2023,Jan,7516570,2116456,9633026
2023,Feb,7175376,1849759,9025135
2023,Mar,8644616,2421479,11066095
2023,Apr,8186751,2533428,10720179
2023,May,8870059,2677060,11547119
2023,Jun,8689481,3044371,11733852
2023,Jul,9475586,3257068,12732654
2023,Aug,9352317,3088937,12441254
2023,Sep,8664085,2590883,11254968
2023,Oct,9322028,2540027,11862055
2023,Nov,8374932,2376329,10751261
2023,Dec,8514883,2711523,11226406
